File,Cross-Entropy,Overall,Overall Binary
dataset/aoi/sourcefiles/Renderers/src/artofillusion/raytracer/PhotonMap.java,7.813441038131714,"{0.0,0.00182194,0.291643,0.706535}",True
dataset/aoi/sourcefiles/Renderers/src/artofillusion/raytracer/RTDirectionalLight.java,73.07611846923828,"{0.93722,0.0626685,0.000111167,1.55334e-12}",False
dataset/aoi/sourcefiles/Renderers/src/artofillusion/raytracer/RTEllipsoid.java,4.89341047831944,"{1.23496e-10,0.0550549,0.924878,0.0200667}",True
dataset/aoi/sourcefiles/Renderers/src/artofillusion/raytracer/RTTriangleLowMemory.java,7.995332688093185,"{0.0,0.0,1.23803e-12,1.0}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/RotateObjectTool.java,11.871630668640137,"{4.56e-18,0.0012557,0.557358,0.441387}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/Scene.java,6.511112868785858,"{0.0,7.95193e-06,0.0626127,0.937379}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/SceneChangedEvent.java,47.34059143066406,"{0.99961,0.000390201,1.4e-19,0.0}",False
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/SceneViewer.java,5.965482640266418,"{0.0,0.000145129,0.144014,0.855841}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/script/ScriptedObjectController.java,29.074382662773132,"{0.029375,0.97043,0.000194567,5.2e-19}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/SplineMeshEditorWindow.java,4.206598349979946,"{0.0,0.0,3.33504e-06,0.999997}",True
dataset/aoi/sourcefiles/SPManager/src/artofillusion/spmanager/HttpSPMFileSystem.java,6.992543475968497,"{0.0,8.04034e-05,0.0173088,0.982611}",True
dataset/aoi/sourcefiles/SPManager/src/artofillusion/spmanager/InstallSplitPane.java,7.403825839360555,"{8.13e-18,2.39375e-05,0.936614,0.0633621}",True
dataset/aoi/sourcefiles/SPManager/src/artofillusion/spmanager/SPManagerPlugin.java,4.471550247885964,"{0.0,2.14389e-05,0.863959,0.13602}",True
dataset/aoi/sourcefiles/SPManager/src/artofillusion/spmanager/SPManagerUtils.java,11.806610822677612,"{0.0,0.0,1.0,5.36855e-09}",True
dataset/aoi/sourcefiles/SPManager/src/artofillusion/spmanager/SPMFileSystem.java,24.297505140304565,"{0.000148382,0.971835,0.028017,2.03086e-13}",True
dataset/aoi/sourcefiles/SPManager/src/artofillusion/spmanager/SPMTranslate.java,13.195627450942993,"{0.000700186,0.998944,0.000355825,0.0}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/texture/FaceVertexParameterValue.java,5.805707136789958,"{0.000478604,0.986218,0.0133035,3.7e-19}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/texture/UniformTexture.java,3.540886068344116,"{7.43307e-10,0.999985,1.48396e-05,2e-20}",True
dataset/aoi/sourcefiles/Tools/src/artofillusion/tools/ArraySpec.java,9.598967245646886,"{3.2e-19,6.23694e-05,0.77851,0.221427}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/TransformPointsDialog.java,27.51081144809723,"{0.197425,0.801695,0.000880284,1.53902e-13}",True
dataset/aoi/sourcefiles/Translators/src/artofillusion/translators/OBJImporter.java,3.685239186653724,"{0.0,0.0,7.48167e-07,0.999999}",True
dataset/aoi/sourcefiles/Translators/src/artofillusion/translators/POVExporter.java,8.071101205689567,"{0.0,5.81878e-05,0.26444,0.735502}",True
dataset/aoi/sourcefiles/Translators/src/artofillusion/translators/TextureImageExporter.java,15.60215175151825,"{2.16648e-08,0.160153,0.813925,0.0259221}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/TriMeshSelectionUtilities.java,17.072313737869262,"{2.87826e-12,0.0110794,0.92609,0.0628303}",True
dataset/aoi/sourcefiles/ArtOfIllusion/src/artofillusion/TriMeshSimplifier.java,4.862740113185002,"{0.0,1.46771e-06,0.0230749,0.976924}",True
